,questions,answers
36,video_2_condition_0_Wat was er aan de hand met de vrouw van Fred?,ze was verdrietig
37,video_2_condition_0_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,jeroen of koen ofzoiets
38,"video_2_condition_0_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",ze dacht aan een personeelsuitjecomma werken met computers of dat daadwerkelijk zo was werd niet duidelijk
39,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,0.70625
40,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.7791666666666667
41,video_4_condition_1_Wat is de naam van deze film?,geen idee
42,video_4_condition_1_Hoe komt Samual aan geld?,hij was in slaap gevallen en mensen zagen hem voor bedelaar aan er lag geld op zijn rugzak
43,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,een telefoonnummer
44,video_4_condition_1_Wat doet Samual met het muntgeld?,hij wil gaan bellen
45,video_4_condition_1_Waarom is Samual in Amsterdam?,daar woon zijn dochter en zij is zwanger hij hoopt opa te worden
46,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,aan de andere kant van de zee
47,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan het meisje dat in het raam stond
48,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn eigen dochter
49,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,hij richt zijn aandacht op iets anders en negeert de man
50,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,nijntjes
51,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.9541666666666667
52,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9916666666666667
53,video_1_condition_0_Wat is de naam van deze film?,weet ik niet
54,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,nee
55,video_1_condition_0_Hoe heet de pizzabezorger?,rachid
56,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,rood
57,video_1_condition_0_Welke kleur kleren heeft de baby?,grijs met paars gestreept
58,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in zijn bezorgkoffer
59,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,omdat ze anders de baby horen huilen
60,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,geen idee
61,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,bij het ziekenhuis
62,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,geiten
63,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,0.56875
64,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.7979166666666667
65,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,geen idee
66,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,drenthe
67,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,dat alle chick in de zomer mooier worden
68,video_3_condition_1_Hoe heet de hoofdrolspeler?,daan
69,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,hij ziet dat alle jongens aan dat meisje zitten en ze dat niet wil
70,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,hij troost haar eerst en geeft haar later een kus
71,video_3_condition_1_Welke sport speelt het team in deze film?,korfbal
72,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,weet ik niet
73,video_3_condition_1_Welke kleur heeft de bal?,geel met blauw
74,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,oranjerose
